time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum,,,time,oldX
1.63E+18,-1.100011,-1.476514,-0.128683,-0.102030026,-0.06401924,-0.073156344,,,1.63E+18,-0.00004
1.63E+18,-1.045731,-1.222184,0.000087,-0.113030276,-0.078784569,-0.074443191,,,1.63E+18,-0.0023
1.63E+18,-0.949843,-1.002238,0.13844,-0.123487453,-0.091006253,-0.074442321,,,1.63E+18,-0.004372
1.63E+18,-0.827094,-0.942966,0.28475,-0.132986004,-0.101028761,-0.073057903,,,1.63E+18,-0.006154
1.63E+18,-0.666698,-1.079835,0.43141,-0.141256838,-0.110458301,-0.070210439,,,1.63E+18,-0.00763
1.63E+18,-0.429368,-1.271036,0.551175,-0.147923904,-0.121256789,-0.065896284,,,1.63E+18,-0.008841
1.63E+18,-0.092886,-1.337149,0.607217,-0.152217529,-0.133966986,-0.060384605,,,1.63E+18,-0.009699
1.63E+18,0.282953,-1.151656,0.621896,-0.153146401,-0.147338647,-0.054312357,,,1.63E+18,-0.010223
1.63E+18,0.631617,-0.723579,0.581806,-0.150316907,-0.15885506,-0.048093476,,,1.63E+18,-0.010506
1.63E+18,0.940104,-0.143763,0.484887,-0.14399435,-0.166098167,-0.042269533,,,1.63E+18,-0.010475
1.63E+18,1.142964,0.325731,0.36884,-0.134602816,-0.167534343,-0.037425566,,,1.63E+18,-0.010153
1.63E+18,1.266777,0.626451,0.216072,-0.12317303,-0.164276991,-0.033737119,,,1.63E+18,-0.009674
1.63E+18,1.297949,0.769236,0.025813,-0.110505422,-0.158012561,-0.031576427,,,1.63E+18,-0.008985
1.63E+18,1.272799,0.820462,-0.218568,-0.097525766,-0.150320103,-0.031318294,,,1.63E+18,-0.008111
1.63E+18,1.221259,0.716702,-0.460121,-0.084797939,-0.142115588,-0.033503946,,,1.63E+18,-0.007037
1.63E+18,1.1678,0.448532,-0.63345,-0.072585192,-0.134948476,-0.038105214,,,1.63E+18,-0.005718
1.63E+18,1.134743,0.12788,-0.705497,-0.060907342,-0.130463214,-0.044439633,,,1.63E+18,-0.004185
1.63E+18,1.117272,-0.165161,-0.679544,-0.049559767,-0.129184397,-0.051494694,,,1.63E+18,-0.002349
1.63E+18,1.14265,-0.376607,-0.547073,-0.03838719,-0.130835986,-0.058290047,,,1.63E+18,-0.000198
1.63E+18,1.23969,-0.454414,-0.353482,-0.026960543,-0.134602104,-0.063760847,,,1.63E+18,0.002218
1.63E+18,1.408393,-0.277856,-0.126519,-0.014563802,-0.139146186,-0.067295621,,,1.63E+18,0.005722
1.63E+18,1.638498,0.202371,0.077301,-0.000479692,-0.141924782,-0.068560828,,,1.63E+18,0.010332
1.63E+18,1.860538,0.771523,0.205879,0.015905078,-0.139901098,-0.067787828,,,1.63E+18,0.015912
1.63E+18,2.045194,1.258557,0.263004,0.034510697,-0.132185769,-0.065729011,,,1.63E+18,0.022374
1.63E+18,2.077099,1.6097,0.214012,0.054982794,-0.119587795,-0.063096379,,,1.63E+18,0.029537
1.63E+18,1.926093,1.759728,0.103481,0.075733312,-0.10350666,-0.060958368,,,1.63E+18,0.037208
1.63E+18,1.59949,1.635967,-0.04023,0.094993996,-0.085909605,-0.059923572,,,1.63E+18,0.045352
1.63E+18,1.159981,1.172163,-0.172404,0.1109891,-0.069549726,-0.060325877,,,1.63E+18,0.053647
1.63E+18,0.711536,0.580985,-0.250053,0.122588762,-0.057828246,-0.062049895,,,1.63E+18,0.061881
1.63E+18,0.305485,0.103777,-0.262026,0.129704213,-0.052018321,-0.064550457,,,1.63E+18,0.069977
1.63E+18,0.015202,-0.112347,-0.225025,0.132759024,-0.050980565,-0.067170683,,,1.63E+18,0.077505
1.63E+18,-0.235742,-0.036617,-0.163118,0.132911046,-0.052104049,-0.069420962,,,1.63E+18,0.084291
1.63E+18,-0.468603,0.273371,-0.093375,0.130553656,-0.052470214,-0.071052121,,,1.63E+18,0.087606
1.63E+18,-0.688288,0.611406,-0.037943,0.125867566,-0.049736469,-0.071985883,,,1.63E+18,0.08677
1.63E+18,-0.866765,0.75592,-0.013177,0.118984774,-0.043622488,-0.072365308,,,1.63E+18,0.081985
1.63E+18,-0.98735,0.703211,-0.038432,0.110317013,-0.036063191,-0.07249708,,,1.63E+18,0.0742
1.63E+18,-1.041822,0.519393,-0.07744,0.100443639,-0.029031171,-0.072881395,,,1.63E+18,0.063305
1.63E+18,-1.069136,0.301349,-0.105453,0.090025286,-0.023837174,-0.073655805,,,1.63E+18,0.049783
1.63E+18,-1.077287,0.057037,-0.103533,0.079334063,-0.020823723,-0.074710321,,,1.63E+18,0.034385
1.63E+18,-1.046849,-0.296008,-0.070808,0.068550299,-0.020252776,-0.075746698,,,1.63E+18,0.017609
1.63E+18,-0.973545,-0.725935,-0.023579,0.058092395,-0.023209863,-0.076454062,,,1.63E+18,0.000269
1.63E+18,-0.863048,-1.126732,0.033999,0.048356821,-0.030469306,-0.076689855,,,1.63E+18,-0.016803
1.63E+18,-0.731625,-1.386734,0.100636,0.039726451,-0.041736482,-0.07634987,,,1.63E+18,-0.032671
1.63E+18,-0.553426,-1.510617,0.192161,0.032410107,-0.055603999,-0.075343497,,,1.63E+18,-0.04711
1.63E+18,-0.322415,-1.470632,0.308749,0.026870393,-0.070725058,-0.073419993,,,1.63E+18,-0.060632
1.63E+18,-0.073845,-1.293778,0.428548,0.023649421,-0.085416883,-0.070335546,,,1.63E+18,-0.072923
1.63E+18,0.195634,-1.032764,0.562293,0.02291098,-0.098354498,-0.066050121,,,1.63E+18,-0.083986
1.63E+18,0.507123,-0.755291,0.676821,0.024867345,-0.10868227,-0.060427119,,,1.63E+18,-0.097754
1.63E+18,0.829869,-0.480332,0.773914,0.02993851,-0.116235083,-0.053658995,,,1.63E+18,-0.114558
1.63E+18,1.09858,-0.143815,0.834302,0.038245592,-0.12104326,-0.04591203,,,1.63E+18,-0.134227
1.63E+18,1.293708,0.207363,0.853536,0.049220283,-0.122479956,-0.037577446,,,1.63E+18,-0.157452
1.63E+18,1.38272,0.441167,0.837409,0.062157529,-0.120406299,-0.029041977,,,1.63E+18,-0.184164
1.63E+18,1.340622,0.488919,0.755536,0.075984552,-0.115994686,-0.020667994,,,1.63E+18,-0.214011
1.63E+18,1.20515,0.420066,0.584842,0.089390943,-0.111105433,-0.013112537,,,1.63E+18,-0.247213
1.63E+18,0.99578,0.28852,0.325294,0.101454321,-0.106900633,-0.007258353,,,1.63E+18,-0.283226
1.63E+18,0.775013,0.064246,0.050615,0.111402307,-0.104018277,-0.004008619,,,1.63E+18,-0.321524
1.63E+18,0.615229,-0.169821,-0.166155,0.119152337,-0.103375825,-0.003502476,,,1.63E+18,-0.3623
1.63E+18,0.499723,-0.32306,-0.29236,0.125304706,-0.105074057,-0.005164047,,,1.63E+18,-0.404544
1.63E+18,0.391128,-0.421305,-0.311018,0.130301872,-0.108304615,-0.008087609,,,1.63E+18,-0.447544
1.63E+18,0.260962,-0.478936,-0.259565,0.134213202,-0.112517719,-0.011197829,,,1.63E+18,-0.491375
1.63E+18,0.097773,-0.493911,-0.215984,0.136822789,-0.117307018,-0.013793446,,,1.63E+18,-0.534833
1.63E+18,-0.028815,-0.48281,-0.20265,0.137800531,-0.122246191,-0.015953314,,,1.63E+18,-0.577332
1.63E+18,-0.062273,-0.48967,-0.233211,0.137512385,-0.127074229,-0.017979788,,,1.63E+18,-0.619324
