stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
219,1626666227599344000,-1.160158,-0.043428,-0.576391,-1.160158,-0.043428,-0.576391,-0.956564,-0.060867,-0.511730
220,1626666227632670000,-1.322139,-0.069634,-0.619811,-1.322139,-0.069634,-0.619811,-1.094811,-0.049959,-0.525446
221,1626666227665996000,-1.441046,-0.121420,-0.653420,-1.441046,-0.121420,-0.653420,-1.216386,-0.039976,-0.538843
222,1626666227699322000,-1.516371,-0.142846,-0.675707,-1.516371,-0.142846,-0.675707,-1.319681,-0.031609,-0.552041
223,1626666227732647000,-1.549179,-0.152208,-0.688886,-1.549179,-0.152208,-0.688886,-1.405893,-0.024784,-0.565023
224,1626666227765973000,-1.553199,-0.158312,-0.697364,-1.553199,-0.158312,-0.697364,-1.477420,-0.018459,-0.577326
225,1626666227799299000,-1.548956,-0.160469,-0.701926,-1.548956,-0.160469,-0.701926,-1.535866,-0.013186,-0.589123
226,1626666227832625000,-1.544768,-0.164684,-0.701661,-1.544768,-0.164684,-0.701661,-1.583022,-0.008981,-0.600481
227,1626666227865951000,-1.541532,-0.166207,-0.698795,-1.541532,-0.166207,-0.698795,-1.620155,-0.006054,-0.611184
228,1626666227899276000,-1.540414,-0.169073,-0.695760,-1.540414,-0.169073,-0.695760,-1.649123,-0.004153,-0.621234
229,1626666227932602000,-1.541966,-0.171039,-0.693385,-1.541966,-0.171039,-0.693385,-1.671343,-0.003091,-0.630695
230,1626666227965928000,-1.543670,-0.170286,-0.690735,-1.543670,-0.170286,-0.690735,-1.687438,-0.003116,-0.639400
231,1626666227999254000,-1.540318,-0.170474,-0.687468,-1.540318,-0.170474,-0.687468,-1.698903,-0.003836,-0.647415
232,1626666228032579000,-1.537501,-0.170481,-0.683251,-1.537501,-0.170481,-0.683251,-1.706739,-0.005060,-0.654824
233,1626666228065905000,-1.538890,-0.165253,-0.677909,-1.538890,-0.165253,-0.677909,-1.710737,-0.006734,-0.661703
234,1626666228099231000,-1.535112,-0.163235,-0.671887,-1.535112,-0.163235,-0.671887,-1.712633,-0.008593,-0.667996
235,1626666228132556000,-1.526688,-0.163620,-0.666639,-1.526688,-0.163620,-0.666639,-1.713238,-0.010530,-0.673766
236,1626666228165882000,-1.520923,-0.162303,-0.662361,-1.520923,-0.162303,-0.662361,-1.712556,-0.012551,-0.679118
237,1626666228199208000,-1.514342,-0.161880,-0.658626,-1.514342,-0.161880,-0.658626,-1.711087,-0.014580,-0.684011
238,1626666228232533000,-1.508116,-0.167937,-0.656913,-1.508116,-0.167937,-0.656913,-1.709116,-0.016579,-0.688491
239,1626666228265859000,-1.507899,-0.171110,-0.657319,-1.507899,-0.171110,-0.657319,-1.706787,-0.018688,-0.692640
240,1626666228299185000,-1.510980,-0.168814,-0.658618,-1.510980,-0.168814,-0.658618,-1.704375,-0.020801,-0.696409
241,1626666228332511000,-1.516201,-0.165916,-0.660138,-1.516201,-0.165916,-0.660138,-1.702021,-0.022873,-0.699841
