stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
131,1626666306750637000,1.070302,-0.005627,0.058259,1.070302,-0.005627,0.058259,0.916425,0.008419,0.040257
132,1626666306783963000,1.064467,-0.006032,0.061258,1.064467,-0.006032,0.061258,0.924117,0.008321,0.040750
133,1626666306817289000,1.056247,-0.006590,0.063839,1.056247,-0.006590,0.063839,0.931243,0.008217,0.041239
134,1626666306850615000,1.047569,-0.006742,0.065952,1.047569,-0.006742,0.065952,0.938231,0.008104,0.041733
135,1626666306883940000,1.038879,-0.005598,0.067356,1.038879,-0.005598,0.067356,0.944703,0.007986,0.042219
136,1626666306917266000,1.031279,-0.004723,0.067577,1.031279,-0.004723,0.067577,0.950567,0.007863,0.042692
137,1626666306950592000,1.024126,-0.005712,0.066471,1.024126,-0.005712,0.066471,0.956209,0.007733,0.043161
138,1626666306983918000,1.015705,-0.004158,0.064421,1.015705,-0.004158,0.064421,0.961291,0.007600,0.043612
139,1626666307017244000,1.006444,-0.003272,0.062378,1.006444,-0.003272,0.062378,0.965742,0.007467,0.044045
140,1626666307050569000,0.996415,-0.003901,0.060984,0.996415,-0.003901,0.060984,0.969885,0.007328,0.044463
141,1626666307083895000,0.985407,-0.005144,0.059835,0.985407,-0.005144,0.059835,0.973434,0.007189,0.044857
142,1626666307117221000,0.973341,-0.004521,0.058617,0.973341,-0.004521,0.058617,0.976359,0.007055,0.045227
143,1626666307150547000,0.961905,-0.004219,0.056995,0.961905,-0.004219,0.056995,0.978884,0.006918,0.045580
144,1626666307183872000,0.950262,-0.005044,0.055305,0.950262,-0.005044,0.055305,0.980783,0.006787,0.045905
145,1626666307217198000,0.937650,-0.003515,0.053232,0.937650,-0.003515,0.053232,0.982064,0.006662,0.046205
146,1626666307250524000,0.924679,-0.001786,0.051024,0.924679,-0.001786,0.051024,0.982842,0.006537,0.046486
147,1626666307283849000,0.912106,-0.001236,0.048499,0.912106,-0.001236,0.048499,0.982976,0.006419,0.046740
148,1626666307317175000,0.899278,-0.000578,0.046545,0.899278,-0.000578,0.046545,0.982512,0.006309,0.046969
149,1626666307350501000,0.885187,0.000873,0.045292,0.885187,0.000873,0.045292,0.981025,0.006184,0.047200
150,1626666307383827000,0.869172,0.001864,0.044721,0.869172,0.001864,0.044721,0.978406,0.006048,0.047426
151,1626666307417152000,0.851885,0.003061,0.044424,0.851885,0.003061,0.044424,0.974771,0.005906,0.047648
152,1626666307450478000,0.835071,0.004515,0.044300,0.835071,0.004515,0.044300,0.969378,0.005773,0.047833
153,1626666307483804000,0.819526,0.004857,0.043917,0.819526,0.004857,0.043917,0.962163,0.005658,0.047977
154,1626666307517129000,0.803615,0.004605,0.043054,0.803615,0.004605,0.043054,0.953330,0.005562,0.048084
155,1626666307550456000,0.786103,0.004339,0.041536,0.786103,0.004339,0.041536,0.942655,0.005461,0.048175
156,1626666307583781000,0.766786,0.004417,0.039621,0.766786,0.004417,0.039621,0.930259,0.005360,0.048248
157,1626666307617107000,0.746362,0.004759,0.038039,0.746362,0.004759,0.038039,0.916397,0.005260,0.048306
158,1626666307650433000,0.724936,0.005429,0.037028,0.724936,0.005429,0.037028,0.900818,0.005244,0.048218
159,1626666307683758000,0.701153,0.005319,0.036608,0.701153,0.005319,0.036608,0.883831,0.005325,0.047981
160,1626666307717084000,0.675637,0.005099,0.036060,0.675637,0.005099,0.036060,0.865726,0.005496,0.047615
161,1626666307750410000,0.650134,0.004943,0.035640,0.650134,0.004943,0.035640,0.846021,0.005714,0.047152
162,1626666307783736000,0.626065,0.005028,0.035511,0.626065,0.005028,0.035511,0.825173,0.005980,0.046598
163,1626666307817061000,0.602699,0.004872,0.035299,0.602699,0.004872,0.035299,0.803496,0.006291,0.045966
164,1626666307850387000,0.578400,0.004031,0.034884,0.578400,0.004031,0.034884,0.780523,0.006667,0.045209
